Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
SBang: Kaona Power Supply KPS,Biomass,Unknown,9.9,2007,,,,,Thailand,SBang Group,Thailand,Songkhla,Hat Yai,,
SBang: Natural Electricity NEPS,Biomass,Unknown,6.5,2014,,,,,Thailand,SBang Group,Thailand,Ubon Ratchathani,Phibun Mangsahan,,
SBang: Natural Palm Group NEC,Biomass,Unknown,9.4,2012,,,,,Thailand,SBang Group,Thailand,Surat Thani,Phunphin,,
SBang: Sricharoen Power Plant SPP,Biomass,Unknown,9.5,2008,,,,,Thailand,SBang Group,Thailand,Chumphon,Sawi,,
Se San 3,Hydro,Operational,260,2006,Vietnam,Ialy Hydro Power Company member of EVN,,,Vietnam,Song Da, Lilama,Vietnam,Kon Tum,,
Se San 3a,Hydro,Operational,108,2007,Vietnam,Sa San 3A Hydropower JSC EVN Vietnam,,,, ,Vietnam,Gia Lai,Ia Grai,,
Se San 4,Hydro,Operational,360,2009,Vietnam,Se San Hydropower Development Company; EVN,,,Vietnam,Song Da,Vietnam,Kon Tum,Ia H' Drai,,
Se San 4 Solar Power,Solar,Operational,49,2020,Vietnam,EVN,France,AFD,China; Vietnam,Huayuan Contractors. Industrial Machinery and Equipment Corporation JSC,Vietnam,Kon Tum,Ia H' Drai,,
Sekong Coal-electricity integration,Coal,Planned,700,,Laos,EDL Laos,,,China,China National Heavy Machinery Corporation CHMC EPC China,Laos,Xekong,Kaleum,,
Seo Chong Ho,Hydro,Operational,22,2013,Vietnam; China,Vietnam-China Electricity Investment Co Ltd,,,, ,Vietnam,Lao Cai,Sa Pa,,
Sesan 4a Thuy dien Se San 4A,Hydro,Operational,63,2011,Vietnam,Se San Hydropower Development Company; EVN Vietnam,,,Vietnam,Sesan 4A Hydroelectric Joint Stock Company SHJC Vietnam,Vietnam,Kon Tum,Ia H' Drai,,
SESJ Mega Solar Power Plant,Solar,Operational,45,2020,Vietnam,Sharp Energy Solutions Corporation, T&T Group JSC, Ninh Thuan Energy Industry JSC,,,,,Vietnam,,
Shimenkan,Hydro,Operational,130,2010,China,Yunnan Datang International Lixianjiang Hydropower Development Company Ltd.; 大唐国际发电股份有限公司、北京国电安融能源投资有限公司和思茅市国有资产经营有限责任公司，股权比例分别为70 PCT、25 PCT和5 PCT,China,,China,China Datang Corporation,China,Yunnan,Puer,,
Shwe Myo,Solar,Planned,10,,Myanmar,Thinkhaypa Energy Myanmar,,,, ,Myanmar,Naypyitaw,Naypyitaw,,
Shwe Taung,Gas,Operational,55.35,1984,,,,,, ,Myanmar,Bago,Pyay,,
Shwe Taung POSCO,Gas,Planned,80,,Myanmar,MOEP Myanmar,,,South Korea,POSCO Daewoo Korea,Myanmar,Bago,Pyay,,
Shwegyin Shwe Kyin,Hydro,Operational,75,2011,Myanmar,MEPE Myanmar,,,China,China Gezhouba China,Myanmar,Bago,Pegu,,
Shweli-1,Hydro,Operational,600,2009,China,Yunnan Machinery Equipment Import and Export Company China,China,China EXIM China,China,Power Construction Corp, China,Myanmar,Shan,,
Shweli-2,Hydro,Planned,520,,China; Myanmar,HIE China, Asia World Company Myanmar,,,China; Myanmar,Huaneng Lancang River Hydropower Co, Ltd China /Asia World Company Myanmar,Myanmar,,
Shweli-3,Hydro,Under Construction,670,,Myanmar,MOEP Myanmar,,,France; Japan; Myanmar,Electricite du France EdF, Marubeni Corporation, Myanmar Ayeyar Hinthar Company,Myanmar,,
Shwesayay,Hydro,Cancelled,660,,Myanmar,Ministry of Electricity & Energy,,,India,National Hydroelectric Power Corporation Ltd,Myanmar,Sagaing,Monywa,,
Si Chiang Mai Power Plant,Biomass,Operational,9.9,2013,Thailand,Alliance Clean Power Co, Ltd.,,,, ,Thailand,Nong Khai,,
Siam Cement Kaeng Khoi Waste Heat Power Generation Project,Waste,Unknown,9.1,,Thailand,Cementhai Energy Conservation Co, Ltd.,,,, ,Thailand,Saraburi,,
Siam Cement Ta Luang Waste Heat Power Generation Project,Waste,Unknown,16.65,,Thailand,Cementhai Energy Conservation Co, Ltd.,,,, ,Thailand,Saraburi,,
Siam Cement Thung Song Waste Heat Power Generation Project,Waste,Unknown,7.88,,Thailand,Cementhai Energy Conservation Co, Ltd.,,,, ,Thailand,Nakhon Si Thammarat,,
Siam Qualtiy Starch Wasterwater Treatment,Waste,Unknown,17.886,,Thailand,Siam Quality Starch Co Ltd.,,,Japan,Mitsubishi UFJ Morgan Stanley Securities Co Ltd.,Thailand,Chaiyaphum,Bamnet Narong,,
Sichon,Nuclear,Planned,,,Thailand,EGAT Thailand,,,, ,Thailand,Nakhon Sawan,Muang Nakhon Sawan,,
Sihanoukville CEL 1 Power Plant,Coal,Operational,100,2013,Malaysia; Cambodia,Cambodian Energy Limited Subsidiary of Leader Universal Holdings Bhd.,,,China,China Huadian Engineering Co China,Cambodia,Preah Sihanouk,Stueng hav,,
Sihanoukville CEL 2 Power Plant,Coal,Operational,135,2019,Malaysia; Cambodia,Cambodian Energy Limited Subsidiary of Leader Universal Holdings Bhd.,,,Japan,Toshiba Plant Systems and Services Corporation TPSC, wholly owned subsidiary of Toshiba Group Japan,Cambodia,Preah Sihanouk,,
Sihanoukville CIIDG Power Station,Coal,Operational,405,2017,China; Cambodia,CIIDG Erdos Hongjun Electric Power Cambodia, China,China; Cambodia,Chinese banks China; Royal Group Cambodia,, ,Cambodia,Preah Sihanouk,,
Sihanoukville CIIDG Power Station 2,Coal,Under Construction,700,2022,China; Cambodia,CIIDG Erdos Hongjun Electric Power Cambodia, China; Cambodia International Investment Development Group Co Ltd. Cambodia,China; Cambodia,Chinese banks China; Royal Group Cambodia,, ,Cambodia,Preah Sihanouk,,
Sihanoukville Diesel,Oil,Operational,5,1998,Cambodia,Ministry of Industry, Mines, and Energy,ADB,ADB,, ,Cambodia,,
Sihanoukville Power Plant,Oil,Operational,14.5,2006,Singapore,Asiatic Group Holdings Ltd.,,,,,Cambodia,Preah Sihanouk,Mittakpheap,,
Sinan Jiang,Hydro,Operational,201,2008,China,Yunnan Dianneng Sinanjiang Hydropower Company; Yunnan Dianneng Holding Co Ltd, Yunnan; Yunnan Province Electricity Ltd. Co, Mojiang County State-owned Assets Management Center,China,,China,Yunnan Dianneng Holding Co Ltd, Yunnan; Yunnan Province Electricity Ltd. Co,,
Sinenergy Ninh Thuan 1 Nha may dien mat troi Sinenergy Ninh Thuan 1 60 ha,Solar,Operational,50,2019,Vietnam,Cty TNHH nang luong Sinenergy Ninh Thuan,,,, ,Vietnam,Ninh Thuan,Ninh Phuoc,,
Sirikit Dam,Hydro,Operational,500,1972,Thailand,EGAT,,,Thailand,EGAT,Thailand,Uttaradit,Tha Pla,,
Sirindhorm Solar Cell,Solar,Unknown,1,,Thailand,Electricty Generating Authority of Thailand,,,, ,Thailand,Ubon Ratchathani,Si Rin Ton,,
Sirindhorn Dam,Hydro,Operational,36,,Thailand,EGAT Thailand,,,, ,Thailand,Ubon Ratchathani,Si Rin Ton,,
Sirindhorn Floating Solar,Solar,Under Construction,45,2021,Thailand,EGAT,,,Thailand; China,B.Grimm Power Plc, Energy China,Thailand,Ubon Ratchathani,,
Sirindhorn Power Plant,Biomass,Operational,9.9,2015,Thailand,Alliance Clean Power Co, Ltd.,,,, ,Thailand,Ubon Ratchathani,,
Sisaket - SPP3 Solar Power Plant,Solar,Operational,8,,Thailand,SPP Three Co Ltd SPP 3 Thailand,ADB,ADB,Netherlands; Sweden,Carbon Partners Asiatica Hong Kong Co Ltd. Netherlands; Swedish Energy Agency Sweden,Thailand,Si Sa Ket,Benchalak,,
Smart Green Energy & Infinite Green Solar Plants,Solar,Under Construction,23,,United Kingdom; Thailand,Infinite Green Thailand, Smart Green Energy UK,,,, ,Thailand,Samut Prakan,,
Soc Son Nha may dien rac khong lo Soc Son,Waste,Under Construction,75,2021,China,Hanoi Thien Y Environmental Energy Co phan nang luong moi truong Thien Y Ha Noi, subsidiary of China Tianying,,,China,China Tianying China,Vietnam,Ha Noi,,
Solar Power Khon Kaen 1 Co, Ltd.,Solar,Operational,6.1,2012,Thailand,Solar Power Company Limited, Thai Fa Power Company Limited Thailand,,,, ,Thailand,,
Solar Power Korat 1 Company Limited KR1,Solar,Operational,6.1,2010,Thailand,Solar Power Company Limited, International Finance Corporation, Thai Fah Power Company Limited Thailand,,,, ,Thailand,,
Solar Power Korat 2 Co, Ltd.,Solar,Operational,6.1,2011,Thailand,Solar Power Company Limited, Thai Fa Power Company Limited Thailand,,,, ,Thailand,,
Solar Power Korat 3 Co, Ltd.,Solar,Operational,6.1,2012,Thailand,Solar Power Company Limited, Ratchaburi Electricity Generating Holding Public Company Limited Thailand,,,, ,Thailand,,
Solar Power Korat 4 Co, Ltd.,Solar,Operational,6.1,2012,Thailand,Solar Power Company Limited, Ratchaburi Electricity Generating Holding Public Company Limited Thailand,,,, ,Thailand,,
Solar Power Korat 5 Co, Ltd.,Solar,Operational,6.1,2013,Thailand,Solar Power Company Limited,,,, ,Thailand,Nakhon Ratchasima,,
Solar Power Korat 7 Co, Ltd.,Solar,Operational,6.1,2012,Thailand,Solar Power Company Limited, Ratchaburi Electricity Generating Holding Public Company Limited Thailand,,,, ,Thailand,,
Solar Power Korat 8 Co, Ltd.,Solar,Operational,6.1,2013,Thailand,,,,, ,Thailand,Nakhon Ratchasima,,
Solar Power Nakorn Phanom 1 Company Limited NP1,Solar,Operational,6.1,2011,Thailand,Solar Power Company Limited, International Finance Corporation, Energy for Environment Foundation, Thai Fa Power Company Limited Thailand,,,, ,,
Solar Power Sakon Nakorn 1 Company Limited SN1,Solar,Operational,6.1,2011,Thailand,Solar Power Company Limited, International Finance Corporation, Energy for Environment Foundation, Thai Fa Power Company Limited Thailand,,,, ,,
SolarBK Trang trai dien nang luong mat troi Solar Farm,Solar,Planned,4.5,2019,Vietnam,Solar BK Tap doan Nang luong Mat Troi Bach Khoa,,,Vietnam,IREX Cong ty CP Nang luong IREX, Cong ty CP Solar ESCO Vietnam equipment,Vietnam,Đa Nang,,
Solarta Nakhon Pathom Solar Plant,Solar,Operational,12,,Thailand,Ratchaburi Electricity Generating Holding Plc, Yanhee Group,,,, ,Thailand,Nakhon Pathom,,
Solarta Nakhon Pathom Solar Plant,Solar,Operational,12,,Thailand,Ratchaburi Electricity Generating Holding Plc, Yanhee Group,,,, ,Thailand,Nakhon Pathom,,
Solarta Nakhon Pathom Solar Plant,Solar,Operational,12,,Thailand,Ratchaburi Electricity Generating Holding Plc, Yanhee Group,,,, ,Thailand,Nakhon Pathom,,
Solarta Nakhon Pathom Solar Plant,Solar,Operational,12,,Thailand,Ratchaburi Electricity Generating Holding Plc, Yanhee Group,,,, ,Thailand,Nakhon Pathom,,
Soma Energy 5MW,Solar,Operational,5,2020,Cambodia,Soma Energy,,,, ,Cambodia,Kampong Thom,Stueng Saen,,
Soma Energy Biomass Power Plant,Biomass,Operational,1.5,2014,Cambodia,Soma Energy,,,,,Cambodia,Kampong Thom,Stoung,,
Sommai Rice Mill Power Plant,Biomass,Unknown,3.7,2003,Thailand,Sommai Rice Miller Partnership Ltd.,,Small Business Credit Guarantee Corporation,Thailand,ATT Consultants Co Ltd.,Thailand,Roi Et,Muang Roi Et,,
Son Dong Nhiet dien Son Đong,Coal,Operational,220,2008,Vietnam,Vinacomin,,,China,Shanghai Electric Power Construction China,Vietnam,Bac Giang,Son Đong,,
Son Hoi Wind Power Plant,Wind,Planned,100,,Vietnam,Tasco Energy JSC,,,,,Vietnam,Phu Yen,Son Hoa,,
Son La Nha may thuy dien Son La,Hydro,Operational,2500,2012,Vietnam,EVN,,,China,Power Construction Corp China,Vietnam,Son La,Muong La,,
Son My 1 Nha may Nhiet dien Son My 1 ,Gas,Planned,2000,2023,France; Vietnam; Japan,Electricite de France, Pacific Corporation, Sojitz, Kyushu,,,, ,,
Son My 2 Nha may Nhiet dien Son My 2,Gas,Planned,750,2024,Vietnam; USA,Petrovietnam, AES,,,, ,Vietnam,Binh Thuan,,
Son My 3 Nha may Nhiet dien Son My 3,Gas,Planned,1250,2025,Vietnam,Petrovietnam,,,, ,Vietnam,Binh Thuan,Ham Tan,,
Son Quang Đien mat troi Son Quang 29 ha,Solar,Planned,29,2020,,,,,, ,Vietnam,Ha Tinh,Huong Son,,
Song Ba Ha,Hydro,Operational,220,2008,Vietnam,Song Ba Ha JSC.,,,Vietnam,Cavico,Vietnam,Lao Cai,Bac Ha,,
Song Bac,Hydro,Operational,49,,Vietnam; Netherlands,Geruco Song Con Hydropower G,,,, ,Vietnam,Ha Giang,Quang Binh,,
Song Binh Solar Nha may dien mat troi Song Binh 6,Solar,Under Construction,250,2019,Vietnam,Cong ty CP Sua Thong Thua, Cong ty CP Nang luong Hung Binh,,,, ,Vietnam,Binh Thuan,,
Song Bung 2,Hydro,Operational,100,2012,Vietnam,EVN,,,USA,Cavico,Vietnam,Quang Nam,Nam Giang,,
Song Bung 4,Hydro,Operational,156,2015,Vietnam,EVN,ADB,ADB,China,Power Construction Corp China,Vietnam,Quang Nam,Nam Giang,,
Song Bung 4A,Hydro,Operational,49,2012,Vietnam,Phu Thanh My JSC.,,,, ,Vietnam,Quang Nam,Nam Giang,,
Song Bung 5,Hydro,Operational,57,2013,Vietnam,Power Engineering Consulting JSC, EVN,,,, ,Vietnam,Quang Nam,,
Song Bung 6,Hydro,Operational,29,2012,Vietnam,Bung River Hydro Power JSC,,,, ,Vietnam,Quang Nam,Đong Giang,,
Song Chay 5,Hydro,Operational,16,2012,Vietnam,Song Da 5 JSC.,,,, ,Vietnam,Ha Giang,Xin Man,,
Song Con 2,Hydro,Operational,63,2009,Vietnam,Geruco Song Con Hydropower JSC,,,, ,Vietnam,Quang Nam,Đong Giang,,
Song Giang Nha may dien mat troi Song Giang, nha may quang dien mat troi tai xa Cam Thinh Đong, TP Cam Ranh,Solar,Planned,50,2020,Vietnam,Cty CP Khai thac thuy dien Song Giang,,,, ,Vietnam,,
Song Giang 1 Thuy dien Song Giang 1,Hydro,Operational,12,2006,Vietnam,Song Giang Hydropower Exploitation JSC Cong ty Co phan Khai thac thuy dien Song Giang,Vietnam,Vietnam Development Bank,, ,Vietnam,Khanh Hoa,Khanh Vinh,,
Song Giang 2 Thuy dien Song Giang 2,Hydro,Operational,37,2014,Vietnam,Song Giang Hydropower Exploitation JSC Cong ty Co phan Khai thac thuy dien Song Giang,,,, ,Vietnam,Khanh Hoa,Khanh Vinh,,
Song Hau 1 Nha may nhiet dien Song Hau 1,Coal,Operational,1200,2020,Vietnam,Petrovietnam,ADB,ADB,Vietnam,Lilama Vietnam,Vietnam,Hau Giang,Chau Thanh,,
Song Hau 2 Nha may nhiet dien Song Hau 2,Coal,Planned,2000,2024,Malaysia,Toyo Engineering and ContructionGroup Berhad,,,, ,Vietnam,Hau Giang,Chau Thanh,,
Song Hau 3 Nha may nhiet dien Song Hau 3,Coal,Cancelled,2000,2030,Vietnam,Korea Electric Power Corporation KEPCO,,,, ,Vietnam,Hau Giang,Chau Thanh,,
Song Luy 1 Nha may dien mat troi tai Song Luy 1,Solar,Operational,39,2018,Vietnam,Cong ty Co phan dau tu Quang dien Binh Thuan,Vietnam,SHB Bank Saigon Hanoi JSC,Vietnam; Spain; Belgium; Sweden; Japan,Sigma Energy Tay Ban Nha – Tu van dien 4 Viet Nam, Tu van giam sat Tractebel Bi, cung cap thiet bi la ABB Thuy Đien, TMEIC Nhat,,
Song Muc,Hydro,Operational,2,2008,Vietnam,Song Muc Co Ltd,,,, ,Vietnam,Thanh Hoa,Nhu Thanh,,
Song Pha,Hydro,Operational,7.5,1995,Vietnam,Da Nhim - Ham Thuan - Da Mi Hydropower Company,,,, ,Vietnam,Ninh Thuan,Ninh Son,,
Song Tranh 2,Hydro,Operational,190,2010,Vietnam,EVN,,,Vietnam,Cavico,Vietnam,Quang Nam,Bac Tra My,,
Song Tranh 3,Hydro,Operational,62,2013,Vietnam,Song Tranh 3 Hydro Power JSC,,,, ,Vietnam,Quang Nam,Hiep Đuc,,
Songkla Biomass Company Limited Power Plant,Biomass,Unknown,9.9,,Thailand,Ratchaburi Electric Generating Company,,,, ,Thailand,Buri Ram,Muang Buri Ram,,
Sor Por Kor Wind Farm,Wind,Under Construction,260,2019,Thailand,Energy Absolute Plc,,,Spain,Siemens Gamesa Renewable Energy Spain,Thailand,Buri Ram,Prakhon Chai,,
South Bangkok Blocks 1-3,Gas,Operational,1691,2009,Thailand,EGAT,,,, ,Thailand,Nonthaburi,Bang Kruai,,
Southern Laos Solar Projects,Solar,Planned,300,2020,USA,Convalt Energy LLC,,,, ,Laos,Vientiane prefecture,Chanthabuly,,
Southern Palm Wastewater Treatment,Waste,Unknown,1,,Thailand,The Southern Palm 1978 Co Ltd.,,,Japan,Marubeni Co,Thailand,Surat Thani,Phunphin,,
SP Infra 1 Nha may dien mat troi SP Infra 1,Solar,Under Construction,50,2020,Vietnam; India,CT TNHH Tai chinh ha tang Shapoorji Pallonji,,,, ,Vietnam,Ninh Thuan,Thuan Nam,,
SPCG Nakthon Ratchasima & Loei Solar Plants,Solar,Operational,18,,Thailand,Steel Intertech Public Company Limited, Thai Fa Power Company,World Bank Group,IBRD; IFC,, ,Thailand,Nakhon Pathom,,
SPM Group Floating Solar,Solar,Operational,2,2021,France,Greenyellow,,,,,Thailand,Ratchaburi,Pak Tho,,
SPS1999 - Pang Ku Solid Waste Processing Plant,Waste,Under Construction,9.5,2019,Thailand,Sermmsappaisal,,,China,China Western Power Industrial EPC China,Thailand,Maha Sarakham,Wapi Pathum,,
Srepok 1 and Quang Minh Solar Complex Khanh thanh cum Nha may dien mat troi Srepok 1 va Quang Minh 120 ha,Solar,Planned,100,2019,Vietnam,Dai Hai Power Investment and Development Joint Stock Company - Cong ty CP dau tu va phat trien dien Đai Hai Vietnam, Cong ty CP dien mat troi Srepok,,,, ,Vietnam,Đak Lak,,
Srepok 3,Hydro,Operational,220,2009,Vietnam,EVN,,,Vietnam,Construction Corporation No 1 JSC,Vietnam,Đak Lak,Buon Đon,,
Srepok 4,Hydro,Operational,80,2010,Vietnam,Dai Hai Electricity Investment and Development JSC EVN,Vietnam,Agribank Quang Tri, Agribank Dak Lak, Agribank Dac Nong, Agribank Thua Thien Hue, Hanoi Branch- Viet A JSC Bank, Viet Thai Joint Venture Bank,,
Srepok 4a,Hydro,Operational,64,2014,Vietnam,Buon Don Hydro Power JSC,,,, ,Vietnam,Đak Lak,Buon Đon,,
Sri Chula Solar Power Plant,Solar,Operational,8,,Thailand,Gunkul Chubu Powergen Company Limited,,,, ,Thailand,Nakhon Nayok,Muang Nakhon Nayok,,
Srijaroen Palm Oil Wastewater Treatment Project,Waste,Unknown,3,,Thailand,Sriajroen Palm Oil Co Ltd.,,,Japan,Mitsubishi UFJ Securities Co Ltd.,Thailand,Krabi,Khao Phanom,,
Srinagarind Dam,Hydro,Operational,720,1980,Thailand,EGAT,,,, ,Thailand,Kanchanaburi,Si Sawat,,
Srinagarind Renovation Hydropower Project,Hydro,Under Construction,360,2019,Thailand,EGAT,,,, ,Thailand,Kanchanaburi,Si Sawat,,
Sriracha,Gas,Operational,700,2000,Thailand,GPSC Global Power Synergy Corp,,,, ,Thailand,Chon Buri,Si Racha,,
Srisangdaw Biopower Power Plant Project,Biomass,Unknown,9.9,,Thailand,Srisangdaw Biopower Co, Ltd Srisangdaw Mill Ltd. Partnership,,,Netherlands,Carbon Partners Asiatica Hong Kong Co Ltd.,Thailand,Roi Et,,
Srok Phu Mieng,Hydro,Operational,51,2006,Vietnam,EVN, Srok Phu Mieng Hydropower JSC,,,, ,Vietnam,Binh Phuoc,,
Stung Atay,Hydro,Operational,120,2013,China; Cambodia,Cambodia Hydropower Development Co, Ltd.,China,China Development Bank China,China,Datang China,,Cambodia,,
Stung Battambang I Multipurpose,Hydro,Operational,13,2018,China,China Guangdong Foreign Construction Company,China,China EXIM Bank China,China,China Guangdong Foreign Construction Company,Cambodia,Battambang,Rotanak Mondol,,
Stung Battambang II,Hydro,Planned,36,,Russia,ENEX,,,, ,Cambodia,Battambang,Samlaut,,
Stung Battambang III,Hydro,Planned,13,,,,,,, ,Cambodia,Battambang,Samlaut,,
Stung Cheay Areng Dam,Hydro,Postponed,108,,China,Power Construction Corp,China,China EXIM Bank China,China,Power Construction Corp China,Cambodia,Koh Kong,Kaoh Kong,,
Stung Chikreng,Hydro,Planned,1,,,,,,, ,Cambodia,Siem Reap,Chi Kraeng,,
Stung Chinit,Hydro,Planned,5,,,,,,, ,Cambodia,Kampong Thum,Baray,,
Stung Kep I,Hydro,Planned,4,,,,,,, ,Cambodia,Koh Kong,Thma Bang,,
Stung Kep II,Hydro,Planned,26,,,,,,, ,Cambodia,Koh Kong,Thma Bang,,
Stung Meteuk I,Hydro,Planned,175,,,,,,, ,Cambodia,Pursat,Veal Veaeng,,
Stung Meteuk II,Hydro,Planned,210,,,,,,, ,Cambodia,Pursat,Veal Veaeng,,
Stung Meteuk III,Hydro,Planned,50,,,,,,, ,Cambodia,Koh Kong,Mondol Seima,,
Stung Mongkol Borey I,Hydro,Planned,7,,,,,,, ,Cambodia,Battambang,Bavel,,
Stung Mongkol Borey II,Hydro,Planned,7,,,,,,, ,Cambodia,Battambang,Kamrieng,,
Stung Piphot,Hydro,Planned,25,,,,,,, ,Cambodia,Koh Kong,Srae Ambel,,
Stung Pursat I,Hydro,Under Construction,80,2023,South Korea; China; Cambodia,SPHP Co Ltd.,,,, ,Cambodia,Pursat,Veal Veaeng,,
Stung Pursat II,Hydro,Planned,17,,China,,,,, ,Cambodia,Pursat,Phnum Kravanh,,
Stung Pursat IV,Hydro,Planned,2,,,,,,, ,Cambodia,Pursat,Phnum Kravanh,,
Stung Pursat V,Hydro,Planned,2,,,,,,China,China Guangdong Foreign Construction Company China,Cambodia,Pursat,Phnum Kravanh,,
Stung Sen,Hydro,Planned,38,,South Korea; Kuwait,,,,, ,Cambodia,Preah Vihear,Rovieng,,
Stung Siem Reap,Hydro,Planned,2,,,,,,, ,Cambodia,Siem Reap,Svay Leu,,
Stung Sreng,Hydro,Planned,7,,,,,,, ,Cambodia,Odar Meanchey,Chong Kal,,
Stung Staung,Hydro,Planned,4,,,,,,, ,Cambodia,Kampong Thom,Prasat Balangk,,
Stung Sva Slapp,Hydro,Planned,4,,,,,,, ,Cambodia,Kampong Speu,Aoral,,
Stung Tanat,Hydro,Planned,4,,,,,,, ,Cambodia,Siem Reap,Varin,,
Stung Tatai Leu,Hydro,Planned,150,2026,China,China National Heavy Machinery Corp,,,,,Cambodia,Koh Kong,Thma Bang,,
Stung Tatay,Hydro,Operational,246,2014,China,China National Heavy Machinery Corporation,China,China EXIM Bank China,China,China Gezhouba Group Corporation China,Cambodia,Koh Kong,Thma Bang,,
Stung Treng,Hydro,Postponed,980,,Cambodia,Royal Group,Vietnam,Vietnam Urban & Industrial Zone Development,,,,,,,
Investment Corporation Vietnam,, ,Cambodia,Stung Treng,Stueng Traeng,,,,,,,,,,
Stung Veal Thmor Kambot,Hydro,Planned,100,,China,China Huadian Corporation,,,, ,Cambodia,Koh Kong,Kaoh Kong,,
Su Pan 2,Hydro,Operational,34.5,2011,Vietnam,Song da- Hoang Lien Hydropower JSC.,,,, ,Vietnam,Lao Cai,Sa Pa,,
Subplu Wind Farm 1 + 2,Wind,Operational,10,2015,Thailand,Wind Energy Development Co,,,China; Spain,PowerChina ZhongNan EPC China, Gamesa Thailand Spain,Thailand,Nakhon Ratchasima,,
Subyai Wind Power Project,Wind,Operational,90,2016,Thailand,Chaiyaphum Wind Farm Company Limited, EGAT,ADB,ADB,, ,Thailand,Chaiyaphum,,
Sumikin Rojana Solar Plant,Solar,Under Construction,24,,Thailand; Japan,Rojana Group, Sumikin Bussan,,,Thailand; Japan,Rojana Power Co Thailand, Japan,Thailand,,
Sung Vui,Hydro,Operational,18,,Vietnam,Nam Tien Lao Cai JSC.,,,, ,Vietnam,Lao Cai,Sa Pa,,
Suo Lwe Soluu,Hydro,Planned,240,2025,China,China Southern Power Grid Yunnan International Co,,,, ,Myanmar,Shan,Kengtung,,
Suoi Lum 1 Thuy dien Suoi Lum,Hydro,Operational,20,2013,Vietnam,Nam Lum Hydro Power JSC.,,,, ,Vietnam,Son La,Muong La,,
Suoi Lum 3 Thuy dien Suoi Lum,Hydro,Operational,14,2025,Vietnam,Nam Lum Hydro Power JSC.,,,, ,Vietnam,Son La,Muong La,,
Suoi Sap 1 Thuy dien Suoi Sap 1,Hydro,Operational,20,2013,Vietnam,Cong ty Thuong mai xay dung dau tu va Phat trien TMXDĐT&PT Xuan Thien,,,, ,Vietnam,Son La,Bac Yen,,
Suoi Sap 2 Thuy dien Suoi Sap 2,Hydro,Operational,14.5,2007,Vietnam,Cong ty Thuong mai xay dung dau tu va Phat trien TMXDĐT&PT Xuan Thien,,,, ,Vietnam,Son La,Bac Yen,,
Suoi Sap 3 Thuy dien Suoi Sap 3,Hydro,Operational,14,2011,Vietnam,Bac Minh Development Investment JSC,,,Vietnam,Cong ty Co phan tu van xay dung dien 1 design consultant, engineering consultant,Vietnam,Son La,,
Suoi Vang AnKroet,Hydro,Operational,3.1,1945,Vietnam,Vietnam Electricity EVN,,,, ,Vietnam,Lam Đong,Lac Duong,,
Superblock Bac Lieu,Wind,Planned,142,2020,Thailand,Superblock Pcl,,,, ,Vietnam,Bac Lieu,Gia Rai,,
Superblock Ca Mau,Wind,Planned,100,2020,Thailand,Superblock Pcl,,,, ,Vietnam,Ca Mau,Đam Doi,,
Superblock Soc Trang,Wind,Planned,98,2020,Thailand,Superblock Pcl,,,, ,Vietnam,Soc Trang,Soc Trang,,
Surat Thani,Mixed Fossil Fuel,Operational,244,2001,Thailand,EGAT,,,, ,Thailand,Surat Thani,Phunphin,,
Surat Thani,Gas,Operational,244,2001,Thailand,EGAT,,,, ,Thailand,Surat Thani,Phunphin,,
Surat Thani Biomass Power Generation,Biomass,Operational,9.95,2007,Thailand,Surat Thani Green Energy Co,,,Japan,Agritech Marketing Co; NES Japan Co Ltd; Mitsubishi UFJ Morgan Stanley Securities Co Ltd.,Thailand,Surat Thani,Ban Na Doem,,
Surat Thani Solar Power Plant,Solar,Operational,1,,Thailand,Thai Solar Energy Public Company Limited TSE,,,, ,Thailand,Surat Thani,Muang Surat Thani,,
Surin 1 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Surin 1 Company Limited Solar Power Co Ltd; PEA ENCOM Co Ltd,,,, ,Thailand,Surin,Samrong Thap,,
Surin 2 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Surin 2 Company Limited Solar Power Co Ltd; PEA ENCOM Co Ltd,,,, ,Thailand,Surin,Sangkha,,
Surin 3 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Surin 3 Company Limited Solar Power Co Ltd,,,, ,Thailand,Surin,Tha Tum,,
Suvannaphum Power Plant,Coal,Operational,10,2008,Thailand; Cambodia,Suvannaphum Investment Co,,,, ,Cambodia,Kandal,Kien Svay,,
Svay Rieng Solar,Solar,Under Construction,20,2021,Cambodia; Malaysia,Pestech International,,,, ,Cambodia,Svay Rieng,Svay Teab,,
Song Hinh Hydro,Hydro,Operational,64,,Vietnam,EVN,,,, ,Vietnam,Phu Yen,Song Hinh,,
T.H. Pellet Watewater Treatment,Waste,Unknown,1,,Thailand,T.H. Pellet Co Ltd.,,,Japan,Marubeni Co,Thailand,Nakhon Ratchasima,Sikhiu,,
Ta Khit Solar Power Plant,Solar,Operational,7.6,,Thailand,G-Power Source Co Ltd,,,, ,Thailand,Nakhon Sawan,Banphot Phisai,,
